年份,国内生产总值GDP(现价)（亿元）
2022,1210207.2
2021,1149237
2020,1013567.002
2019,986515.2023
2018,919281.1291
2017,832035.9486
2016,746395.0595
2015,688858.218
2014,643563.1045
2013,592963.2295
2012,538579.9535
2011,487940.1805
2010,412119.2558
2009,348517.7437
2008,319244.6128
2007,270092.3237
2006,219438.4748
2005,187318.9031
2004,161840.1609
2003,137422.0349
2002,121717.4247
2001,110863.123
2000,100280.1393
1999,90564.3758
1998,85195.5071
1997,79715.0445
1996,71813.6296
1995,61339.8913
1994,48637.4503
1993,35673.2304
1992,27194.5309
