OTU ID,abundance,taxonomy
Acanthopagrus,0.206232133,Chordata
Ancherythroculter,0.426331941,Chordata
Anchoviella,0.169015822,Chordata
Bagridae_norank,4.046276147,Chordata
Carassius,2.714583162,Chordata
Coptodon,0.254401076,Chordata
Cyprinidae_norank,3.201055528,Chordata
Danio,0.234193893,Chordata
Dorosoma,0.534669611,Chordata
Hemibagrus,0.950558344,Chordata
Hemiculter,1.378192148,Chordata
Hypomesus,0.855437416,Chordata
Hypophthalmichthys,1.247666198,Chordata
Hyporhamphus,0.151044448,Chordata
Icelus,0.219675287,Chordata
Moolgarda,0.213448984,Chordata
Nematalosa,0.23659951,Chordata
Odontamblyopus,0.207449092,Chordata
Opisthopterus,0.321390435,Chordata
Paratrypauchen,0.231165646,Chordata
Polyacanthonotus,0.368597132,Chordata
Rhinogobio,0.287598591,Chordata
Rhinogobius,0.431029969,Chordata
Sardinella,0.870267338,Chordata
Schizothorax,0.288051413,Chordata
Silurus,0.31264531,Chordata
Stolephorus,0.578310334,Chordata
Thryssa,0.394549494,Chordata
Trypauchen,0.225646877,Chordata
Unclassified,76.05479939,Unclassified
